1	35	"It displays the word Hello on the screen."
2	44	"Mobile apps and video games (or any two valid examples)."
3	55	"print('YourName') — replacing YourName with your actual name."
4	66	"Human language is ambiguous — one word can have many meanings. Programming languages are precise and unambiguous so the computer always knows exactly what to do."
5	104	"START → Read N → If N>=0 print Positive, else print Negative → END."
6	113	"A diamond (rhombus)."
7	124	"1. Boil water. 2. Put tea bag in cup. 3. Pour hot water. 4. Wait 3 minutes. 5. Remove tea bag. 6. Drink."
8	135	"Set max=A. If B>max then max=B. If C>max then max=C. Print max."
9	173	"x is int, y is float, z is str."
10	182	"age = 15"
11	193	"<class 'bool'> — True is a boolean value."
12	204	"TypeError — you cannot add a string '5' to an integer 3. You must convert one type: int('5') + 3 = 8 or '5' + str(3) = '53'."
13	242	"age = input('How old are you? ') then print('You are ' + age + ' years old')"
14	251	"input()"
15	262	"a = int(input('First: ')) \\n b = int(input('Second: ')) \\n print(a + b)"
16	273	"A ValueError occurs. Use try/except to catch the error and ask again."
17	305	"if n > 0: print('Positive') elif n < 0: print('Negative') else: print('Zero')"
18	314	"elif"
19	325	"if age >= 18: print('Adult') else: print('Minor')"
20	336	"if score >= 90: grade='A' elif score >= 80: grade='B' elif score >= 70: grade='C' elif score >= 60: grade='D' else: grade='F'"
21	374	"for i in range(1, 6): print(i)"
22	383	"The numbers 0, 1, 2, 3, 4 (five numbers starting from 0)."
23	394	"n = 10\\nwhile n >= 1:\\n    print(n)\\n    n = n - 1"
24	405	"total = 0\\nfor i in range(2, 101, 2):\\n    total += i\\nprint(total)  # 2550"
25	437	"def add(a, b): return a + b"
26	446	"def"
27	457	"def double(n): return n * 2"
28	468	"def is_even(n): return n % 2 == 0\\nfor i in range(1, 21):\\n    if is_even(i): print(i)"
29	506	"Missing colon after range(5). Correct: for i in range(5): print(i)"
30	515	"SyntaxError"
31	526	"Logic error: y should be 5, not 4. Fix: y = 5."
32	537	"NameError: 'num' is not defined. Should be len(nums) not len(num). Fix the typo."
33	569	"repeat(4): move 100 steps, turn 90 degrees."
34	578	"When green flag clicked."
35	589	"Use the 'if on edge, bounce' block inside a forever loop with 'move steps'."
36	600	"1. when green flag clicked (start), 2. forever loop (game loop), 3. if key pressed (movement), 4. if touching (collision detection)."
37	638	"name = input('Name: ')\\nage = int(input('Age: '))\\nbirth_year = 2026 - age\\nprint(f'{name}, you were born in {birth_year}')"
38	647	"The hash symbol #"
39	658	"c = float(input('Celsius: '))\\nf = c * 9/5 + 32\\nprint(f'{c}C = {f}F')"
40	669	"import random\\nsecret = random.randint(1, 10)\\nguess = int(input('Guess 1-10: '))\\nif guess == secret: print('Correct!')\\nelif guess < secret: print('Too low')\\nelse: print('Too high')"
41	717	"50"
42	726	"float"
43	737	"False, False, True — zero and empty strings are falsy, non-empty strings are truthy."
44	748	"s = input('Enter: ')\\nif s.isdigit(): print('integer')\\nelif s.replace('.','',1).isdigit(): print('float')\\nelse: print('string')"
45	786	"'nohtyP'"
46	795	"'HELLO'"
47	806	"'Hello, World!'[7:12]"
48	817	"def is_palindrome(s):\\n    s = s.lower().replace(' ', '')\\n    return s == s[::-1]"
49	855	"4"
50	864	"Use the .append() method."
51	875	"Lists are mutable (can be changed), tuples are immutable (cannot be changed after creation)."
52	886	"def unique(lst):\\n    seen = []\\n    for x in lst:\\n        if x not in seen:\\n            seen.append(x)\\n    return seen"
53	924	"{'name': 'Ali', 'age': 15, 'grade': 9, 'school': 'NIS'}"
54	933	"d['name']"
55	944	"counts = {}\\nfor word in words:\\n    counts[word] = counts.get(word, 0) + 1\\n# {'apple': 3, 'banana': 2, 'cherry': 1}"
56	955	"def merge_sum(d1, d2):\\n    result = dict(d1)\\n    for k, v in d2.items():\\n        result[k] = result.get(k, 0) + v\\n    return result"
57	987	"def greet(name, greeting='Hello'): return f'{greeting}, {name}!'"
58	996	"A parameter that has a pre-set value used when no argument is provided for it."
59	1007	"def min_max(lst): return (min(lst), max(lst))"
60	1018	"def calculate(a, b, op='add'):\\n    if op == 'add': return a + b\\n    elif op == 'subtract': return a - b\\n    elif op == 'multiply': return a * b\\n    elif op == 'divide': return a / b if b != 0 else 'Error: division by zero'"
61	1050	"names = ['Alice', 'Bob']\\nwith open('names.txt', 'w') as f:\\n    for name in names:\\n        f.write(name + '\\n')"
62	1059	"'r' — read mode."
63	1070	"with open('file.txt', 'r') as f:\\n    lines = f.readlines()\\n    print(len(lines))"
64	1081	"with open('scores.csv') as f:\\n    best_name, best_score = '', 0\\n    for line in f:\\n        name, score = line.strip().split(',')\\n        if int(score) > best_score:\\n            best_name, best_score = name, int(score)\\nprint(f'{best_name}: {best_score}')"
65	1113	"try:\\n    num = int(input('Number: '))\\nexcept ValueError:\\n    print('Please enter a valid number')"
66	1122	"try, except, finally"
67	1133	"ZeroDivisionError"
68	1144	"def safe_divide(a, b):\\n    try:\\n        return a / b\\n    except ZeroDivisionError:\\n        print('Cannot divide by zero')\\n        return None\\n    except TypeError:\\n        print('Inputs must be numbers')\\n        return None"
69	1176	"import math; print(math.sqrt(144)) → 12.0"
70	1185	"import"
71	1196	"import random\\nnum = random.randint(1, 100)\\nprint(num)"
72	1207	"from datetime import date\\ntoday = date.today()\\nnew_year = date(today.year + 1, 1, 1)\\ndays_left = (new_year - today).days\\nprint(f'{days_left} days until New Year')"
73	1239	"import random\\nchoices = ['rock', 'paper', 'scissors']\\ncomputer = random.choice(choices)\\nplayer = input('rock/paper/scissors: ')\\nif player == computer: print('Tie')\\nelif (player=='rock' and computer=='scissors') or (player=='scissors' and computer=='paper') or (player=='paper' and computer=='rock'): print('You win!')\\nelse: print('Computer wins!')"
74	1248	"Show state, get input, update state."
75	1259	"Wrap the game in a while True loop and break when input equals 'quit'."
76	1270	"import random\\nsecret = random.randint(1, 100)\\nguesses = 0\\nwhile True:\\n    guess = int(input('Guess: '))\\n    guesses += 1\\n    if guess == secret:\\n        print(f'Correct in {guesses} guesses!')\\n        break\\n    elif guess < secret: print('Higher')\\n    else: print('Lower')"
77	1302	"a = float(input('First: '))\\nop = input('Operator: ')\\nb = float(input('Second: '))\\nif op == '+': print(a + b)\\nelif op == '-': print(a - b)\\nelif op == '*': print(a * b)\\nelif op == '/': print(a / b if b != 0 else 'Error')\\nelse: print('Unknown operator')"
78	1311	"eval() executes any Python code the user types, which is a security risk — they could run malicious commands."
79	1322	"Use a list: history = []. After each calculation, history.append(f'{a} {op} {b} = {result}'). If len(history) > 5: history.pop(0)."
